n_have,n_want,rating,n_ratings,last_sold,price_lowest,price_highest,price_median,release_id,release_url,last_updated
190,100,4.6,15,2020-11-06,8.90,22.25,16.12,12356011,https://www.discogs.com/Eric-Demarsan-Le-Cercle-Rouge-bande-originale-du-film/release/12356011,2021-01-24 21:16:23.900070
267,95,4.33,15,2020-12-31,11.68,24.65,14.94,13730642,https://www.discogs.com/James-Brown-Black-Caesar/release/13730642,2021-01-24 21:16:23.900070
283,137,4.43,37,2020-11-21,13.34,23.15,16.91,7354262,https://www.discogs.com/Antonio-Sanchez-2-Various-Birdman-Or-The-Unexpected-Virtue-Of-Ignorance-Original-Drum-Score/release/7354262,2021-01-24 21:16:23.900070
145,66,4.36,14,2020-09-23,13.14,38.69,26.78,11247308,https://www.discogs.com/Various-The-Bad-Batch-Original-Motion-Picture-Soundtrack-/release/11247308,2021-01-24 21:16:23.900070
5027,685,4.51,489,2020-12-18,10.95,22.17,15.00,3021810,https://www.discogs.com/Prince-And-The-Revolution-Purple-Rain/release/3021810,2021-01-24 21:16:23.900070
70,1,4.0,2,2020-11-09,0.99,9.99,5.00,2154151,https://www.discogs.com/Prokofiev-Rimsky-Korsakov-Peter-And-The-Wolf-Legend-Of-The-Invisible-City-Of-Kitezh/release/2154151,2021-01-24 21:16:23.900070
2323,413,4.41,208,2021-01-01,10.51,20.48,16.76,9713132,https://www.discogs.com/Justin-Hurwitz-La-La-Land-Original-Motion-Picture-Soundtrack/release/9713132,2021-01-24 21:16:23.900070
4247,2682,4.62,560,2021-01-01,13.86,40.15,25.23,6734085,https://www.discogs.com/Hans-Zimmer-Interstellar-Original-Motion-Picture-Soundtrack/release/6734085,2021-01-24 21:16:23.900070
197,75,4.4,10,2020-12-08,23.99,28.35,25.50,14822066,https://www.discogs.com/Graham-Coxon-The-End-Of-The-Fxxxing-World-2-Original-Songs-And-Score/release/14822066,2021-01-24 21:16:23.900070
100,27,4.78,9,2020-12-01,8.03,15.99,8.76,14778879,https://www.discogs.com/Alex-Somers-Honey-Boy-Original-Soundtrack/release/14778879,2021-01-24 21:16:23.900070
3487,1669,4.39,401,2020-12-20,22.99,35.00,27.22,3643990,https://www.discogs.com/Cliff-Martinez-Drive-Original-Motion-Picture-Soundtrack/release/3643990,2021-01-24 21:16:23.900070
315,307,4.62,37,2020-12-05,16.06,48.96,29.20,7168841,https://www.discogs.com/Various-Whiplash-Original-Motion-Picture-Soundtrack/release/7168841,2021-01-24 21:16:23.900070
153,85,4.6,30,2020-10-14,10.95,24.12,18.18,11082587,https://www.discogs.com/Acid-Pauli-Selected-Indianer-Works/release/11082587,2021-01-24 21:16:23.900070
242,119,4.53,17,2020-11-14,3.65,16.06,13.50,5132763,https://www.discogs.com/Palmer-Rockey-Rockeys-Style-/release/5132763,2021-01-24 21:16:23.900070
