n_have,n_want,rating,n_ratings,last_sold,price_lowest,price_highest,price_median,release_id,release_url
73,0,4.75,4,2020-12-03,2.95,8.90,6.23,7947218,https://www.discogs.com/Puccini-Tito-Gobbi-Ileana-Cotrubas-Placido-DomingoLondon-Symphony-Orchestra-Lorin-Maazel-Gianni-Schi/release/7947218
30,11,5.0,1,2020-09-10,1.02,15.13,4.00,3822897,https://www.discogs.com/Puccini-Maria-Callas-Giuseppe-Di-Stefano-Tito-Gobbi-Orchestra-And-Chorus-Of-La-Scala-Milan-Vittore-V/release/3822897
108,9,5.0,5,2020-12-08,3.07,11.71,8.69,5747801,https://www.discogs.com/Puccini-Maria-Callas-Nicolai-Gedda-Mario-Borriello-Lucia-Danieli-Orchestra-And-Chorus-Of-La-Scala-Mi/release/5747801
90,1,4.67,3,2020-09-29,4.38,8.90,5.56,4753655,https://www.discogs.com/Manuel-De-Falla-Teresa-Berganza-Alicia-Naf%C3%A9-Jos%C3%A9-Carreras-Ambrosian-Opera-Chorus-London-Symphony-O/release/4753655
29,4,5.0,1,2020-06-01,3.00,8.01,3.99,2898302,https://www.discogs.com/Donizetti-Joan-Sutherland-Renato-Cioni-Robert-Merrill-Cesare-Siepi-Orchestra-DellAccademia-Nazionale/release/2898302
122,17,4.17,12,2020-12-08,2.00,15.00,6.66,3978315,https://www.discogs.com/Sibelius-Bournemouth-Symphony-Orchestra-Berglund-Kullervo-Symphony/release/3978315
13,1,4.0,1,2016-02-01,11.13,11.13,11.13,7432386,https://www.discogs.com/Boris-Christoff-Issay-Dobrowen-French-Radio-Orchestra-Moussorgsky-Boris-Godounoff/release/7432386
6,0,,0,NaT,,,,14818027,https://www.discogs.com/Pablo-Casals-In-Memoriam-Pablo-Casals-1876-1973/release/14818027
94,12,4.0,7,2020-11-25,4.00,15.58,10.00,3812093,https://www.discogs.com/Kurt-Weill-Lotte-Lenya-Wilhelm-Br%C3%BCckner-R%C3%BCggeberg-The-Threepenny-Opera-The-Berlin-Theatre-Songs/release/3812093
132,10,3.71,7,2020-12-08,7.12,36.68,11.52,7529152,https://www.discogs.com/Wagner-Vienna-Philharmonic-Orchestra-Georg-Solti-Tannh%C3%A4user-Paris-Version/release/7529152
77,16,3.33,3,2020-09-25,4.75,15.00,9.38,6929259,https://www.discogs.com/Wagner-Kirsten-Flagstad-Ludwig-Suthaus-Blanche-Thebom-Dietrich-Fischer-Dieskau-Philharmonia-Orchestr/release/6929259
28,12,4.8,5,2020-12-11,10.00,30.85,22.00,4206700,https://www.discogs.com/Wagner-Otto-Klemperer-New-Philharmonia-Orchestra-The-Flying-Dutchman/release/4206700
75,16,4.55,11,2020-08-31,1.99,28.16,16.99,4498264,https://www.discogs.com/Wagner-Ren%C3%A9-Kollo-Gottlob-Frick-Dietrich-Fischer-Dieskau-Christa-Ludwig-Zoltan-K%C3%A9l%C3%A9men-Hans-Hotte/release/4498264
116,11,4.55,11,2020-11-11,3.00,15.94,10.75,6936927,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-49-56/release/6936927
182,18,4.57,14,2020-10-22,2.50,65.70,9.35,1471751,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-93-104/release/1471751
143,15,4.8,10,2020-12-01,2.00,14.24,6.65,3795163,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-82-92-Sinfonia-Concertante/release/3795163
106,14,5.0,8,2020-10-09,7.99,27.60,14.70,4385283,https://www.discogs.com/Haydn-Philharmonia-Hungarica-Antal-Dorati-Symphonies-1-19/release/4385283
62,6,5.0,4,2020-10-28,2.91,11.56,4.99,8905619,https://www.discogs.com/Brahms-Elisabeth-Schwarzkopf-Dietrich-Fischer-DieskauPhilharmonia-Chorus-Chorus-Master-Wilhelm-PitzP/release/8905619
63,8,4.67,3,2020-12-11,5.83,11.75,7.35,7890383,https://www.discogs.com/Mahler-Concertgebouw-Orchester-Amsterdam-Bernard-Haitink-Sinfonie-Nr-7/release/7890383
301,40,4.52,23,2020-12-11,4.45,17.80,11.51,4173982,https://www.discogs.com/Mahler-Georg-Solti-Chicago-Symphony-Orchestra-Symphony-No-8/release/4173982
88,34,4.5,6,2020-12-21,6.00,42.03,12.00,1859581,https://www.discogs.com/Gustav-Mahler-Dame-Janet-Baker-Sir-John-Barbirolli-New-Philharmonia-Orchestra-Symphony-No-5-Five-R%C3%BC/release/1859581
63,14,5.0,1,2020-11-23,6.23,35.16,21.13,6611304,https://www.discogs.com/Mahler-Heather-Harper-Helen-Watts-London-Symphony-Georg-Solti-Symphony-No2-Resurrection/release/6611304
21,2,3.5,2,2020-11-17,2.00,8.75,3.99,7704913,https://www.discogs.com/Berlioz-Patricia-Kern-Robert-Tear-John-Shirley-QuirkLondon-Symphony-Orchestra-Colin-Davis-Romeo-Et-J/release/7704913
116,12,4.4,5,2020-11-06,1.78,9.99,4.99,3093919,https://www.discogs.com/Berlioz-Janet-Baker-Eric-Tappy-Thomas-Allen-Jules-Bastin-John-Alldis-Choir-London-Symphony-Orchestra/release/3093919
1,1,,0,NaT,,,,12007636,https://www.discogs.com/Boston-Symphony-Orchestra-Charles-Munch-Hector-Berlioz-The-Damnation-Of-Faust/release/12007636
90,21,4.4,5,2020-11-16,1.99,18.00,11.25,5519993,https://www.discogs.com/Beethoven-Otto-Klemperer-Elisabeth-S%C3%B8derstr%C3%B8m-Marga-H%C3%B6ffgen-Waldemar-Kmentt-Martti-Talvela-New-Ph/release/5519993
71,9,4.17,6,2020-11-03,2.81,20.48,10.68,4660464,https://www.discogs.com/Ludwig-Van-Beethoven-Wilhelm-Kempff-Yehudi-Menuhin-S%C3%A4mtliche-Violinsonaten-Violin-Sonatas-Complete-/release/4660464
217,50,4.65,17,2020-12-02,7.29,26.18,12.05,2452986,https://www.discogs.com/Franz-Liszt-Lazar-Berman-Ann%C3%A9es-De-P%C3%A8lerinage-Gesamt-Complete-Integrale/release/2452986
103,5,4.0,4,2020-06-16,1.99,10.68,3.00,3287016,https://www.discogs.com/Franz-Leh%C3%A1r-Elizabeth-Harwood-Teresa-Stratas-Werner-Hollweg-Ren%C3%A9-Kollo-Zoltan-Kelemen-Chorus-Of-Th/release/3287016
